"JJ","CA","CB","CC","CD","CE"
2019-07-12,0.422028911659258,0.212609486982535,0.0812826998672736,0.0366540623530804,0.000348394152759167
2019-07-13,0.413543232968078,0.205700310064503,0.0786365077350837,0.0353402210136266,0.000348394152759167
2019-07-14,0.405228174679578,0.199015660877394,0.0760764634893676,0.0340734734737258,0.000348394152759167
2019-07-15,0.397080306152218,0.192548242936755,0.073599762549818,0.0328521316863591,0.000348394152759167
2019-07-16,0.389096265723908,0.186290996872211,0.0712036916404067,0.0316745681114695,0.000348394152759167
2019-07-17,0.381272759325046,0.180237092721958,0.0688856258169364,0.030539213547129,0.000348394152759167
2019-07-18,0.373606559119444,0.174379922477669,0.0666430255913605,0.0294445550384452,0.000348394152759167
2019-07-19,0.366094502172585,0.168713092871661,0.0644734341497234,0.0283891338614231,0.000348394152759167
2019-07-20,0.358733489146652,0.163230418398464,0.0623744746606702,0.0273715435790928,0.000348394152759167
2019-07-21,0.351520483021796,0.157925914563167,0.0603438476715807,0.0263904281673149,0.000348394152759167
2019-07-22,0.34445250784312,0.152793791349171,0.0583793285894716,0.0254444802077652,0.000348394152759167
2019-07-23,0.337526647492851,0.147828446898221,0.0564787652439103,0.02453243914569,0.000348394152759167
2019-07-24,0.330740044487207,0.143024461395817,0.0546400755292689,0.0236530896101117,0.000348394152759167
2019-07-25,0.324089898797446,0.138376591155336,0.0528612451237347,0.0228052597942452,0.000348394152759167
2019-07-26,0.317573466694632,0.133879762894399,0.0511403252825802,0.0219878198939679,0.000348394152759167
2019-07-27,0.311188059617614,0.129529068197236,0.049475430703274,0.0211996806022604,0.000348394152759167
2019-07-28,0.304931043063784,0.125319758157012,0.0478647374600931,0.0204397916576145,0.000348394152759167
2019-07-29,0.298799835502121,0.121247238192261,0.046306481005976,0.0197071404444717,0.000348394152759167
2019-07-30,0.292791907308103,0.117307063031772,0.0447989542394254,0.0190007506438282,0.000348394152759167
2019-07-31,0.286904779720028,0.113494931862442,0.0433405056343436,0.0183196809322082,0.000348394152759167
2019-08-01,0.284829528384391,0.111383076400696,0.0423515007433362,0.017784746638009,0.000348394152759167
2019-08-02,0.282769287841221,0.10931051726186,0.0413850643632429,0.0172654324138411,0.000348394152759167
